com,com_label,diocese,diocese_label,nation
a7, A7,edinburgh," ""Edinburgh""",scotland
attercliffe-and-darnall,Attercliffe and Darnall,sheffield,Sheffield,england
ballina, Ballina, tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland
bradford,Bradford,leeds,Leeds,england
central-fife,Central Fife,st-andrews-dunkeld-dunblane,"St Andrews, Dunkeld & Dunblane",scotland
cork, Cork,cork-cloyne-ross,"Cork, Cloyne & Ross",republic-of-ireland
cross-hands,Cross Hands,st-davids,St Davids,wales
dundee,Dundee,brechnin,Brechin,scotland
gloucester,Gloucester,gloucester,Gloucester,england
greenwich,Greenwich,southwark,Southwark,england
haverfordwest,Haverfordwest,st-davids,St Davids,wales
kildare,Kildare,meath-kildare,Meath and Kildare,republic-of-ireland
langley,Langley,birmingham,Birmingham,england
leeds,Leeds,leeds,Leeds,england
llandaff,Llandaff,llandaff,Llandaff,wales
llanelli,Llanelli,st-davids,St Davids,wales
medway,Medway,rochester,Rochester,england
newry,Newry,down-dromore,Down and Dromore,northern-ireland
north-belfast,North Belfast,connor,Connor,northern-ireland
north-coast-of-wales,North Coast of Wales,st-asaph,St Asaph,wales
rochdale,Rochdale,manchester,Manchester,england
scunthorpe,Scunthorpe,lincoln,Lincoln,england
selby,Selby,york,York,england
sheffield,Sheffield City,sheffield,Sheffield,england
sligo,Sligo,kilmore-elphin-ardagh,"Kilmore, Elphin & Ardagh",republic-of-ireland
southampton,Southampton,winchester,Winchester,england
st-helier,St Helier,southwark,Southwark,england
suffolk,Suffolk,st-edmundsbury-ipswich,St Edmundsbury and Ipswich,england
west-highlands,West Highlands,argyll-the-isles,Argyll and the Isles,scotland
wrexham,Wrexham,st-asaph,St Asaph,wales
